,0
1,
2,99767.80945427956
3,100038.7061132246
4,99883.90472713979
5,99883.90472713979
6,100038.7061132246
7,99922.5993069576
8,99342.1114092497
9,99226.00460298268
10,98993.81405726224
11,98722.91739831718
12,98955.10794403762
13,98645.51670527477
14,98684.21128509258
15,99109.90933012245
16,98374.62004632973
17,98374.62004632973
18,98761.61197813498
19,99032.50863708006
20,99226.0046029827
21,99071.2032168979
22,99264.096381416
23,99109.78874828745
24,98685.41688786172
25,98569.6717911696
26,98685.4168878617
27,98569.67179116959
28,98569.67179116959
29,98492.51222586703
30,98376.7786266515
31,98106.72589683083
32,98145.3114282204
33,98376.7786266515
34,98222.45949604637
35,98646.83135647215
36,98376.7786266515
37,99534.14911123665
38,99379.8414781081
39,99148.36278220043
40,99457.00104341065
41,99804.21333853384
42,100575.78599660624
43,100652.94556190875
44,101424.52971745773
45,101501.68928276027
46,101231.63655293961
47,100922.99829172937
48,100614.37152799573
49,100537.21196269321
50,100614.37152799575
51,100884.42425781643
52,100845.85022390344
53,100807.26469251387
54,100691.5310932983
55,100575.7859966062
56,100460.05239739064
57,99881.36140635979
58,100344.3187981751
59,100344.3187981751
60,101115.90295372406
61,102118.9543077041
62,102581.90020204286
63,102698.68791297165
64,102387.25014976275
65,101997.93844300589
66,101997.93844300589
67,102153.66312570861
68,102542.96323026888
69,102815.47562390039
70,102620.81396942365
71,102077.84908479977
72,101883.9231474228
73,101573.66245264339
74,101457.30457854792
75,101728.79857920636
76,101185.82213623599
77,101108.25407295454
78,101069.47582048704
79,101030.69756801955
80,100410.15306176772
81,100720.42531489364
82,100681.64706242616
83,100565.28918833067
84,100255.02849355126
85,100371.37480930025
86,100138.6706194558
87,100293.80674601876
88,100914.33969392412
89,100914.33969392412
90,100642.8572516122
91,101147.04388376857
92,101302.18001033149
93,101769.00664643389
94,100718.638019811
95,100718.638019811
96,100524.12788758968
97,100524.12788758968
98,100563.0368703479
99,100796.44439147084
100,100718.638019811
101,100679.7406309094
102,100679.7406309094
103,100251.81138370855
104,99979.49487982743
105,100290.72036646678
106,99551.56563262662
107,99784.98474760615
108,99512.66824372503
109,99395.95288930697
110,99629.37200428644
111,99279.24912874548
112,99162.54536818404
113,99551.56563262662
114,99279.24912874549
115,99045.83001376598
116,99357.05550040533
117,99746.07576484793
118,99668.26939318808
119,99396.37739612146
120,99357.54064330479
121,99241.0072332882
122,99590.58431177142
