Date,Close,ao,ao_signal,ao_position
2019-10-21,61.150001525878906,1.8024714413811154,0,1
2019-10-22,58.83000183105469,1.222589088888725,0,1
2019-10-23,58.36000061035156,0.3155303618487153,0,1
2019-10-24,61.720001220703125,-0.24382256900562993,-1,0
2019-10-25,62.88999938964844,-0.18458743375890663,0,0
2019-10-28,62.79999923706055,0.17044163872213858,1,1
2019-10-29,62.40999984741211,0.613147107292626,0,1
2019-10-30,62.15999984741211,1.2396762735703462,0,1
2019-10-31,61.43000030517578,1.4802349539364101,0,1
2019-11-01,62.599998474121094,1.3267936257755082,0,1
2019-11-04,62.380001068115234,1.1656466427971282,0,1
2019-11-05,61.060001373291016,0.9284998613245392,0,1
2019-11-06,61.34000015258789,0.6582647099214398,0,1
2019-11-07,64.41000366210938,0.7438238031723969,0,1
2019-11-08,62.45000076293945,0.8466771967270788,0,1
2019-11-11,63.790000915527344,0.7965008903952224,0,1
2019-11-12,61.540000915527344,0.8484419542200428,0,1
2019-11-13,61.5099983215332,0.8584417006548719,0,1
2019-11-14,62.9900016784668,0.69005895502427,0,1
2019-11-15,64.69999694824219,0.6996760536642626,0,1
2019-11-18,65.73999786376953,1.0187931172987987,0,1
2019-11-19,66.37000274658203,1.5438518524169922,0,1
2019-11-20,67.16999816894531,2.4250579048605587,0,1
2019-11-21,67.41999816894531,3.288616427253274,0,1
2019-11-22,67.75,3.8855870190788693,0,1
2019-11-25,68.25,4.251146350187412,0,1
2019-11-26,68.94000244140625,4.550764151180488,0,1
2019-11-27,69.6500015258789,4.844882045072666,0,1
2019-11-29,69.12000274658203,5.039353359446814,0,1
2019-12-02,66.87999725341797,4.936618288825542,0,1
2019-12-03,67.04000091552734,4.61391229068532,0,1
2019-12-04,67.77999877929688,4.266176739860981,0,1
2019-12-05,67.13999938964844,3.7738820917466,0,1
2019-12-06,67.9800033569336,3.2431466383092555,0,1
2019-12-09,67.05999755859375,2.9494996912339104,0,1
2019-12-10,65.83999633789062,2.6574994031120696,0,1
2019-12-11,65.75,2.122734451293951,0,1
2019-12-12,65.86000061035156,1.6221758898566776,0,1
2019-12-13,64.80000305175781,1.0872053482953277,0,1
2019-12-16,66.52999877929688,0.6332642162547302,0,1
2019-12-17,65.55000305175781,0.4502355575561552,0,1
2019-12-18,65.13999938964844,0.27023612751679593,0,1
2019-12-19,64.55000305175781,-0.01146960538976316,-1,0
2019-12-20,63.630001068115234,-0.32049904991599476,0,0
2019-12-23,62.79999923706055,-0.8318227431353336,0,0
2019-12-24,63.959999084472656,-1.4126465629128973,0,0
2019-12-26,64.02999877929688,-1.7648528491749502,0,0
2019-12-27,63.79999923706055,-1.9814414417042485,0,0
2019-12-30,61.79999923706055,-2.2209125070010884,0,0
2019-12-31,62.560001373291016,-2.400265401952403,0,0
2020-01-02,63.83000183105469,-2.4528531691607327,0,0
2020-01-03,63.0,-2.6244410458733043,0,0
2020-01-06,62.56999969482422,-2.8661761676563984,0,0
2020-01-07,64.58999633789062,-2.7023822560029913,0,0
