Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position
2015-11-30,12.039999961853027,,,0,1
2015-12-01,11.90999984741211,,,0,1
2015-12-02,11.930000305175781,,,0,1
2015-12-03,11.920000076293945,,,0,1
2015-12-04,12.039999961853027,,,0,1
2015-12-07,12.359999656677246,,,0,1
2015-12-08,12.119999885559082,,,0,1
2015-12-09,11.989999771118164,,,0,1
2015-12-10,12.050000190734863,,,0,1
2015-12-11,11.949999809265137,,,0,1
2015-12-14,12.329999923706055,,,0,1
2015-12-15,12.470000267028809,,,0,1
2015-12-16,12.270000457763672,,,0,1
2015-12-17,12.319999694824219,,,0,1
2015-12-18,12.34000015258789,,,0,1
2015-12-21,12.239999771118164,,,0,1
2015-12-22,12.460000038146973,,,0,1
2015-12-23,12.5,,,0,1
2015-12-24,12.600000381469727,,,0,1
2015-12-28,12.829999923706055,,,0,1
2015-12-29,12.739999771118164,,,0,1
2015-12-30,12.779999732971191,,,0,1
2015-12-31,13.09000015258789,,,0,1
2016-01-04,12.15999984741211,,,0,1
2016-01-05,11.510000228881836,92.0,100.0,0,1
2016-01-06,11.520000457763672,88.0,96.0,0,1
2016-01-07,11.15999984741211,84.0,100.0,0,1
2016-01-08,11.3100004196167,80.0,96.0,0,1
2016-01-11,11.84000015258789,76.0,92.0,0,1
2016-01-12,12.09000015258789,72.0,88.0,0,1
2016-01-13,11.609999656677246,68.0,84.0,0,1
2016-01-14,10.819999694824219,64.0,100.0,0,1
2016-01-15,10.270000457763672,60.0,100.0,0,1
2016-01-19,9.470000267028809,56.00000000000001,100.0,0,1
2016-01-20,9.489999771118164,52.0,96.0,0,1
2016-01-21,10.020000457763672,48.0,92.0,0,1
2016-01-22,9.850000381469727,44.0,88.0,0,1
2016-01-25,9.8100004196167,40.0,84.0,0,1
2016-01-26,9.539999961853027,36.0,80.0,0,1
2016-01-27,9.050000190734863,32.0,100.0,0,1
2016-01-28,8.739999771118164,28.000000000000004,100.0,-1,0
2016-01-29,8.770000457763672,24.0,96.0,0,0
2016-02-01,8.760000228881836,20.0,92.0,0,0
2016-02-02,8.470000267028809,16.0,100.0,0,0
2016-02-03,8.430000305175781,12.0,100.0,0,0
2016-02-04,8.899999618530273,8.0,96.0,0,0
2016-02-05,8.630000114440918,4.0,92.0,0,0
2016-02-08,8.369999885559082,4.0,100.0,0,0
2016-02-09,8.619999885559082,24.0,96.0,0,0
2016-02-10,8.880000114440918,20.0,92.0,0,0
2016-02-11,8.619999885559082,16.0,88.0,0,0
2016-02-12,9.300000190734863,12.0,84.0,0,0
2016-02-16,9.930000305175781,8.0,80.0,0,0
2016-02-17,9.84000015258789,4.0,76.0,0,0
2016-02-18,9.979999542236328,4.0,72.0,0,0
2016-02-19,9.970000267028809,4.0,68.0,0,0
2016-02-22,10.380000114440918,100.0,64.0,0,0
2016-02-23,9.710000038146973,96.0,60.0,0,0
2016-02-24,9.890000343322754,92.0,56.00000000000001,0,0
2016-02-25,10.260000228881836,88.0,52.0,0,0
2016-02-26,10.319999694824219,84.0,48.0,0,0
2016-02-29,10.4399995803833,100.0,44.0,0,0
2016-03-01,10.720000267028809,100.0,40.0,0,0
2016-03-02,11.970000267028809,100.0,36.0,0,0
2016-03-03,12.25,100.0,32.0,0,0
2016-03-04,12.010000228881836,96.0,28.000000000000004,1,1
2016-03-07,12.260000228881836,100.0,24.0,0,1
2016-03-08,11.479999542236328,96.0,20.0,0,1
2016-03-09,12.029999732971191,92.0,16.0,0,1
2016-03-10,11.300000190734863,88.0,12.0,0,1
2016-03-11,11.100000381469727,84.0,8.0,0,1
2016-03-14,11.609999656677246,80.0,4.0,0,1
2016-03-15,11.949999809265137,76.0,4.0,0,1
2016-03-16,11.869999885559082,72.0,8.0,0,1
2016-03-17,11.949999809265137,68.0,4.0,0,1
2016-03-18,12.039999961853027,64.0,4.0,0,1
2016-03-21,13.399999618530273,100.0,24.0,0,1
2016-03-22,13.0600004196167,96.0,20.0,0,1
2016-03-23,12.59000015258789,92.0,16.0,0,1
2016-03-24,12.880000114440918,88.0,12.0,0,1
2016-03-28,13.399999618530273,84.0,8.0,0,1
2016-03-29,13.739999771118164,100.0,4.0,0,1
2016-03-30,15.020000457763672,100.0,4.0,0,1
2016-03-31,15.279999732971191,100.0,4.0,0,1
2016-04-01,14.220000267028809,96.0,4.0,0,1
2016-04-04,14.279999732971191,92.0,4.0,0,1
2016-04-05,14.260000228881836,88.0,4.0,0,1
2016-04-06,14.970000267028809,84.0,32.0,0,1
2016-04-07,14.8100004196167,80.0,28.000000000000004,0,1
2016-04-08,15.130000114440918,76.0,24.0,0,1
2016-04-11,15.359999656677246,100.0,20.0,0,1
2016-04-12,15.479999542236328,100.0,16.0,0,1
2016-04-13,15.010000228881836,96.0,12.0,0,1
2016-04-14,14.819999694824219,92.0,8.0,0,1
2016-04-15,14.329999923706055,88.0,4.0,0,1
2016-04-18,14.510000228881836,84.0,4.0,0,1
2016-04-19,14.09000015258789,80.0,8.0,0,1
2016-04-20,13.630000114440918,76.0,4.0,0,1
2016-04-21,13.239999771118164,72.0,4.0,0,1
2016-04-22,13.34000015258789,68.0,4.0,0,1
