,aroon_signal,macd_signal,rsi_signal,Binary Return
2019-09-03 10:30:00-04:00,0,0,0,0
2019-09-03 11:30:00-04:00,0,-1,0,0
2019-09-03 12:30:00-04:00,0,0,0,0
2019-09-03 13:30:00-04:00,0,0,0,0
2019-09-03 14:30:00-04:00,0,0,0,0
2019-09-03 15:30:00-04:00,0,0,0,1
2019-09-04 09:30:00-04:00,0,0,0,1
2019-09-04 10:30:00-04:00,0,0,0,1
2019-09-04 11:30:00-04:00,0,0,0,0
2019-09-04 12:30:00-04:00,0,0,0,0
2019-09-04 13:30:00-04:00,0,0,0,1
2019-09-04 14:30:00-04:00,0,0,0,0
2019-09-04 15:30:00-04:00,0,0,0,1
2019-09-05 09:30:00-04:00,0,0,0,1
2019-09-05 10:30:00-04:00,0,1,0,0
2019-09-05 11:30:00-04:00,0,0,0,0
2019-09-05 12:30:00-04:00,0,0,0,1
2019-09-05 13:30:00-04:00,0,0,0,1
2019-09-05 14:30:00-04:00,0,0,0,1
2019-09-05 15:30:00-04:00,0,0,0,0
2019-09-06 09:30:00-04:00,0,0,0,1
2019-09-06 10:30:00-04:00,0,0,0,0
2019-09-06 11:30:00-04:00,0,0,0,1
2019-09-06 12:30:00-04:00,0,0,0,0
2019-09-06 13:30:00-04:00,0,0,0,0
2019-09-06 14:30:00-04:00,0,0,0,0
2019-09-06 15:30:00-04:00,0,0,0,0
2019-09-09 09:30:00-04:00,0,-1,0,0
2019-09-09 10:30:00-04:00,0,0,0,0
2019-09-09 11:30:00-04:00,0,0,0,0
2019-09-09 12:30:00-04:00,0,0,1,0
2019-09-09 13:30:00-04:00,0,0,0,0
2019-09-09 14:30:00-04:00,0,0,0,1
2019-09-09 15:30:00-04:00,0,0,0,1
2019-09-10 09:30:00-04:00,0,0,0,0
2019-09-10 10:30:00-04:00,0,0,0,0
2019-09-10 11:30:00-04:00,0,0,0,1
2019-09-10 12:30:00-04:00,0,0,0,0
2019-09-10 13:30:00-04:00,0,0,0,0
2019-09-10 14:30:00-04:00,-1,0,0,0
2019-09-10 15:30:00-04:00,0,0,0,1
2019-09-11 09:30:00-04:00,0,0,0,0
2019-09-11 10:30:00-04:00,0,0,0,0
2019-09-11 11:30:00-04:00,0,0,0,1
2019-09-11 12:30:00-04:00,0,0,0,0
2019-09-11 13:30:00-04:00,0,0,0,0
2019-09-11 14:30:00-04:00,0,0,0,0
2019-09-11 15:30:00-04:00,0,0,0,1
2019-09-12 09:30:00-04:00,0,0,0,0
2019-09-12 10:30:00-04:00,0,0,0,0
2019-09-12 11:30:00-04:00,0,0,0,0
2019-09-12 12:30:00-04:00,0,0,0,0
2019-09-12 13:30:00-04:00,0,0,0,0
