,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position
2019-09-03 09:30:00-04:00,62.959999084472656,,,0,1
2019-09-03 10:30:00-04:00,62.31999969482422,,,0,1
2019-09-03 11:30:00-04:00,62.0,,,0,1
2019-09-03 12:30:00-04:00,61.774898529052734,,,0,1
2019-09-03 13:30:00-04:00,61.36000061035156,,,0,1
2019-09-03 14:30:00-04:00,61.125,,,0,1
2019-09-03 15:30:00-04:00,61.13999938964844,,,0,1
2019-09-04 09:30:00-04:00,61.93000030517578,,,0,1
2019-09-04 10:30:00-04:00,62.02000045776367,,,0,1
2019-09-04 11:30:00-04:00,61.41999816894531,,,0,1
2019-09-04 12:30:00-04:00,61.07500076293945,,,0,1
2019-09-04 13:30:00-04:00,61.11000061035156,,,0,1
2019-09-04 14:30:00-04:00,61.040000915527344,,,0,1
2019-09-04 15:30:00-04:00,61.08000183105469,,,0,1
2019-09-05 09:30:00-04:00,63.08250045776367,,,0,1
2019-09-05 10:30:00-04:00,62.67900085449219,,,0,1
2019-09-05 11:30:00-04:00,62.45280075073242,,,0,1
2019-09-05 12:30:00-04:00,62.83000183105469,,,0,1
2019-09-05 13:30:00-04:00,62.95500183105469,,,0,1
2019-09-05 14:30:00-04:00,63.150001525878906,,,0,1
2019-09-05 15:30:00-04:00,63.04499816894531,,,0,1
2019-09-06 09:30:00-04:00,63.31999969482422,,,0,1
2019-09-06 10:30:00-04:00,62.97610092163086,,,0,1
2019-09-06 11:30:00-04:00,63.279998779296875,,,0,1
2019-09-06 12:30:00-04:00,62.97600173950195,88.0,52.0,0,1
2019-09-06 13:30:00-04:00,62.650001525878906,84.0,48.0,0,1
2019-09-06 14:30:00-04:00,62.30500030517578,80.0,44.0,0,1
2019-09-06 15:30:00-04:00,61.97999954223633,76.0,40.0,0,1
2019-09-09 09:30:00-04:00,61.70000076293945,72.0,36.0,0,1
2019-09-09 10:30:00-04:00,61.68000030517578,68.0,32.0,0,1
2019-09-09 11:30:00-04:00,60.95000076293945,64.0,100.0,0,1
2019-09-09 12:30:00-04:00,59.92499923706055,60.0,100.0,0,1
2019-09-09 13:30:00-04:00,59.752201080322266,56.00000000000001,100.0,0,1
2019-09-09 14:30:00-04:00,60.86000061035156,52.0,96.0,0,1
2019-09-09 15:30:00-04:00,61.45000076293945,48.0,92.0,0,1
2019-09-10 09:30:00-04:00,61.380001068115234,44.0,88.0,0,1
2019-09-10 10:30:00-04:00,61.207298278808594,40.0,84.0,0,1
2019-09-10 11:30:00-04:00,61.38999938964844,36.0,80.0,0,1
2019-09-10 12:30:00-04:00,61.15800094604492,32.0,76.0,0,1
2019-09-10 13:30:00-04:00,60.58000183105469,28.000000000000004,72.0,-1,0
2019-09-10 14:30:00-04:00,60.4900016784668,24.0,68.0,0,0
2019-09-10 15:30:00-04:00,60.5,20.0,64.0,0,0
2019-09-11 09:30:00-04:00,60.45000076293945,16.0,60.0,0,0
2019-09-11 10:30:00-04:00,59.97999954223633,12.0,56.00000000000001,0,0
2019-09-11 11:30:00-04:00,60.22999954223633,8.0,52.0,0,0
2019-09-11 12:30:00-04:00,60.201499938964844,4.0,48.0,0,0
2019-09-11 13:30:00-04:00,59.69340133666992,8.0,100.0,0,0
2019-09-11 14:30:00-04:00,59.014198303222656,4.0,100.0,0,0
2019-09-11 15:30:00-04:00,59.18000030517578,4.0,96.0,0,0
2019-09-12 09:30:00-04:00,58.959598541259766,4.0,100.0,0,0
2019-09-12 10:30:00-04:00,58.560001373291016,4.0,100.0,0,0
2019-09-12 11:30:00-04:00,58.310001373291016,4.0,100.0,0,0
2019-09-12 12:30:00-04:00,58.2400016784668,4.0,100.0,0,0
2019-09-12 13:30:00-04:00,58.0,4.0,100.0,0,0
2019-09-12 14:30:00-04:00,58.095001220703125,20.0,96.0,0,0
2019-09-12 15:30:00-04:00,57.790000915527344,16.0,100.0,0,0
2019-09-13 09:30:00-04:00,58.22999954223633,12.0,96.0,0,0
2019-09-13 10:30:00-04:00,58.279998779296875,8.0,92.0,0,0
2019-09-13 11:30:00-04:00,58.7599983215332,4.0,88.0,0,0
2019-09-13 12:30:00-04:00,58.483699798583984,12.0,84.0,0,0
2019-09-13 13:30:00-04:00,58.1349983215332,8.0,80.0,0,0
2019-09-13 14:30:00-04:00,58.290000915527344,4.0,76.0,0,0
2019-09-13 15:30:00-04:00,58.31999969482422,4.0,72.0,0,0
2019-09-16 09:30:00-04:00,57.529998779296875,4.0,100.0,0,0
2019-09-16 10:30:00-04:00,58.02510070800781,8.0,96.0,0,0
2019-09-16 11:30:00-04:00,58.14889907836914,4.0,92.0,0,0
2019-09-16 12:30:00-04:00,59.494998931884766,4.0,88.0,0,0
2019-09-16 13:30:00-04:00,59.470001220703125,8.0,84.0,0,0
2019-09-16 14:30:00-04:00,59.31999969482422,4.0,80.0,0,0
2019-09-16 15:30:00-04:00,59.25,4.0,76.0,0,0
2019-09-17 09:30:00-04:00,59.65999984741211,4.0,72.0,0,0
2019-09-17 10:30:00-04:00,59.529998779296875,96.0,68.0,0,0
2019-09-17 11:30:00-04:00,59.63999938964844,92.0,64.0,0,0
2019-09-17 12:30:00-04:00,59.40999984741211,88.0,60.0,0,0
2019-09-17 13:30:00-04:00,59.349998474121094,84.0,56.00000000000001,0,0
2019-09-17 14:30:00-04:00,59.54999923706055,80.0,52.0,0,0
2019-09-17 15:30:00-04:00,59.540000915527344,76.0,48.0,0,0
2019-09-18 09:30:00-04:00,59.77000045776367,100.0,44.0,0,0
2019-09-18 10:30:00-04:00,59.41999816894531,96.0,40.0,0,0
2019-09-18 11:30:00-04:00,59.27000045776367,92.0,36.0,0,0
2019-09-18 12:30:00-04:00,59.165000915527344,88.0,32.0,0,0
2019-09-18 13:30:00-04:00,58.9900016784668,84.0,28.000000000000004,1,1
2019-09-18 14:30:00-04:00,59.540000915527344,80.0,24.0,0,1
2019-09-18 15:30:00-04:00,59.72999954223633,76.0,20.0,0,1
2019-09-19 09:30:00-04:00,59.75,72.0,16.0,0,1
2019-09-19 10:30:00-04:00,59.709999084472656,68.0,12.0,0,1
2019-09-19 11:30:00-04:00,58.77109909057617,64.0,8.0,0,1
2019-09-19 12:30:00-04:00,58.7599983215332,60.0,4.0,0,1
2019-09-19 13:30:00-04:00,58.86009979248047,56.00000000000001,4.0,0,1
2019-09-19 14:30:00-04:00,58.900001525878906,52.0,4.0,0,1
2019-09-19 15:30:00-04:00,59.029998779296875,48.0,88.0,0,1
2019-09-20 09:30:00-04:00,58.279998779296875,44.0,100.0,0,1
2019-09-20 10:30:00-04:00,57.685001373291016,40.0,100.0,0,1
2019-09-20 11:30:00-04:00,57.41999816894531,36.0,100.0,0,1
2019-09-20 12:30:00-04:00,57.34000015258789,32.0,100.0,0,1
2019-09-20 13:30:00-04:00,57.45000076293945,28.000000000000004,96.0,-1,0
2019-09-20 14:30:00-04:00,57.88010025024414,24.0,92.0,0,0
2019-09-20 15:30:00-04:00,57.83000183105469,20.0,88.0,0,0
2019-09-23 09:30:00-04:00,56.650001525878906,16.0,100.0,0,0
2019-09-23 10:30:00-04:00,56.790000915527344,12.0,96.0,0,0
2019-09-23 11:30:00-04:00,57.0,8.0,92.0,0,0
2019-09-23 12:30:00-04:00,56.689998626708984,4.0,88.0,0,0
2019-09-23 13:30:00-04:00,56.6599006652832,28.000000000000004,84.0,0,0
2019-09-23 14:30:00-04:00,56.7598991394043,24.0,80.0,0,0
2019-09-23 15:30:00-04:00,56.75,20.0,76.0,0,0
2019-09-24 09:30:00-04:00,56.790000915527344,16.0,72.0,0,0
2019-09-24 10:30:00-04:00,57.70000076293945,12.0,68.0,0,0
2019-09-24 11:30:00-04:00,56.25,8.0,100.0,0,0
2019-09-24 12:30:00-04:00,56.20000076293945,4.0,100.0,0,0
2019-09-24 13:30:00-04:00,57.09000015258789,4.0,96.0,0,0
2019-09-24 14:30:00-04:00,56.86000061035156,20.0,92.0,0,0
2019-09-24 15:30:00-04:00,57.529998779296875,16.0,88.0,0,0
2019-09-25 09:30:00-04:00,57.25,12.0,84.0,0,0
2019-09-25 10:30:00-04:00,57.900001525878906,8.0,80.0,0,0
2019-09-25 11:30:00-04:00,57.95000076293945,4.0,76.0,0,0
2019-09-25 12:30:00-04:00,57.9900016784668,4.0,72.0,0,0
2019-09-25 13:30:00-04:00,58.35639953613281,100.0,68.0,0,0
2019-09-25 14:30:00-04:00,58.80500030517578,100.0,64.0,0,0
2019-09-25 15:30:00-04:00,58.540000915527344,96.0,60.0,0,0
2019-09-26 09:30:00-04:00,60.994998931884766,100.0,56.00000000000001,0,0
2019-09-26 10:30:00-04:00,60.23500061035156,96.0,52.0,0,0
2019-09-26 11:30:00-04:00,60.43220138549805,92.0,48.0,0,0
2019-09-26 12:30:00-04:00,60.18000030517578,88.0,44.0,0,0
2019-09-26 13:30:00-04:00,60.79499816894531,84.0,40.0,0,0
